Date,Open,High,Low,Close,Adj Close,Volume
1997-02-26,8.392663,8.429132,8.170067,8.283185,4.753015,840993
1997-02-27,8.319725,8.392663,8.305095,8.381744,4.809570,677614
1997-02-28,8.319725,8.319725,8.129958,8.301455,4.763498,874341
1997-03-03,8.283185,8.429132,8.257635,8.337924,4.784424,428903
1997-03-04,8.374393,8.483872,8.286825,8.476592,4.863994,1144630
1997-03-05,8.465673,8.903516,8.429132,8.710108,4.997988,2962391
1997-03-06,8.885317,8.976525,8.826938,8.936345,5.127809,2635494
1997-03-07,8.940056,8.994724,8.684559,8.910795,5.113146,1896928
1997-03-10,8.867047,8.932705,8.702829,8.783118,5.039884,1183023
1997-03-11,8.848776,8.958255,8.812307,8.830578,5.067117,1027070
1997-03-12,8.954615,8.976525,8.794037,8.826938,5.065028,1665311
1997-03-13,8.757568,8.940056,8.739298,8.877966,5.094309,1739715
1997-03-14,8.746649,8.940056,8.713819,8.848776,5.077560,662621
1997-03-17,8.790397,8.848776,8.648090,8.761208,5.027311,380842
1997-03-18,8.794037,8.801388,8.542251,8.622540,4.947742,932630
1997-03-19,8.666360,8.702829,8.611620,8.655369,4.966580,527827
1997-03-20,8.615260,8.702829,8.502142,8.527692,4.893316,1009976
1997-03-21,8.556881,8.830578,8.556881,8.575151,4.920549,532171
1997-03-24,8.702829,8.757568,8.629891,8.651729,4.964492,376639
1997-03-25,8.732018,8.812307,8.651729,8.812307,5.056633,577849
1997-03-26,8.790397,8.958255,8.735658,8.867047,5.088043,1044585
1997-03-27,8.867047,9.049463,8.757568,8.812307,5.056633,698211
1997-03-28,8.812307,8.812307,8.812307,8.812307,5.056633,0
1997-03-31,8.812307,8.812307,8.812307,8.812307,5.056633,0
1997-04-01,8.213887,8.465673,8.195616,8.319725,4.773983,1078634
1997-04-02,8.502142,8.502142,7.911001,7.973020,4.575038,797135
1997-04-03,7.918280,8.137237,7.772333,7.984010,4.581344,1114364
1997-04-04,8.027759,8.064299,7.845342,7.973020,4.575038,589900
1997-04-07,8.392663,8.392663,8.155508,8.253995,4.736265,763647
1997-04-08,8.283185,8.319725,7.918280,8.049669,4.619020,972284
1997-04-09,8.137237,8.290536,8.082498,8.188337,4.698590,728617
1997-04-10,8.137237,8.137237,7.954821,8.005849,4.593875,525025
1997-04-11,8.027759,8.356194,7.991290,8.100768,4.648341,1037579
1997-04-14,7.845342,8.210247,7.845342,8.155508,4.679751,731980
1997-04-15,8.210247,8.283185,8.137237,8.243076,4.730000,823898
1997-04-16,8.243076,8.243076,8.243076,8.243076,4.730000,0
1997-04-17,8.228446,8.246716,8.108048,8.206607,4.709073,932210
1997-04-18,8.228446,8.228446,8.064299,8.210247,4.711163,499103
1997-04-21,8.137237,8.137237,7.936550,8.038749,4.612753,562016
1997-04-22,7.965740,8.483872,7.936550,8.483872,4.868173,1090824
1997-04-23,8.666360,8.812307,8.648090,8.713819,5.000119,754819
1997-04-24,8.848776,8.867047,8.429132,8.509422,4.882833,827961
1997-04-25,8.538611,8.618900,8.356194,8.447403,4.847246,383505
1997-04-28,8.666360,8.757568,8.575151,8.721099,5.004296,751036
1997-04-29,8.732018,8.764848,8.593350,8.757568,5.025223,664863
1997-04-30,8.826938,8.867047,8.721099,8.794037,5.046149,767570
1997-05-01,8.794037,8.794037,8.794037,8.794037,5.046149,0
1997-05-02,8.794037,9.067733,8.954615,9.049463,5.192716,498402
1997-05-05,9.086004,9.469107,9.086004,9.414368,5.402104,1694456
1997-05-06,9.596856,9.761074,9.341430,9.666154,5.546582,2451098
1997-05-07,9.815813,9.961761,9.688064,9.845002,5.649209,3307364
1997-05-08,9.845002,9.845002,9.845002,9.845002,5.649209,0
1997-05-09,9.815813,10.363134,9.815813,10.250016,5.881611,1990247
1997-05-12,10.326665,10.545551,10.125978,10.326665,5.925594,1477973
1997-05-13,10.326665,10.363134,10.162447,10.217187,5.862774,1501092
1997-05-14,10.304755,10.651390,10.144177,10.589371,6.076337,4318041
1997-05-15,10.545551,10.786418,10.417873,10.782778,6.187318,1159623
1997-05-16,10.691570,10.837517,10.582091,10.724399,6.153821,676773
1997-05-19,10.724399,10.724399,10.724399,10.724399,6.153821,0
1997-05-20,10.728039,10.728039,10.509082,10.636831,6.103573,936834
1997-05-21,10.728039,10.764508,10.472613,10.523712,6.038662,782143
1997-05-22,10.582091,10.618560,10.180646,10.217187,5.862774,720490
1997-05-23,10.271926,10.374054,10.279205,10.355855,5.942343,167441
1997-05-26,10.217187,10.509082,10.217187,10.454343,5.998858,274772
1997-05-27,10.406883,10.406883,10.253656,10.363134,5.946521,248570
1997-05-28,10.417873,10.107708,9.925220,9.976320,5.724560,483129
1997-05-29,9.979959,9.998230,9.925220,9.961761,5.716208,42736
1997-05-30,9.979959,10.144177,9.852282,9.979959,5.726648,769812
1997-06-02,9.961761,10.337584,9.947130,10.253656,5.883701,839311
1997-06-03,10.308395,10.709769,10.271926,10.673300,6.124498,751036
1997-06-04,10.673300,10.855716,10.647750,10.800977,6.197762,1020064
1997-06-05,10.800977,11.275360,11.133052,11.220621,6.438559,497421
1997-06-06,11.257161,11.658535,11.202422,11.658535,6.689841,1043885
1997-06-09,11.822753,11.859222,11.184152,11.457848,6.574683,944400
1997-06-10,11.275360,11.330099,11.231612,11.326460,6.499292,484811
1997-06-11,11.333739,11.333739,11.092943,11.158602,6.402972,751036
1997-06-12,11.238891,11.600156,11.202422,11.600156,6.656342,1052292
1997-06-13,11.640265,11.676734,11.461488,11.494317,6.595611,393733
1997-06-16,11.567327,11.676734,11.494317,11.585525,6.647946,341889
1997-06-17,11.603796,11.815395,11.574606,11.753383,6.744266,636139
1997-06-18,11.797203,12.147477,11.676734,12.132561,6.961844,717408
1997-06-19,12.224126,12.698510,12.151117,12.428453,7.131631,2421252
1997-06-20,12.552491,13.118075,12.497751,13.048784,7.487586,1726263
1997-06-23,13.209362,13.209362,12.709429,12.771448,7.328446,1049489
1997-06-24,12.516022,12.804277,12.479553,12.756889,7.320092,1378768
1997-06-25,12.716708,13.099883,12.716708,13.030514,7.477101,840712
1997-06-26,12.972127,13.026867,12.552491,12.570761,7.213289,882748
1997-06-27,12.625500,12.771448,12.114641,12.205849,7.003898,906568
1997-06-30,12.260588,12.278866,12.005169,12.005169,6.888743,898161
1997-07-01,12.147477,12.169387,11.768013,12.005169,6.888743,637540
1997-07-02,12.005169,12.096378,11.640265,11.822753,6.784071,934592
1997-07-03,11.676734,12.625500,11.676734,12.552491,7.202806,1403990
1997-07-04,12.661969,12.771448,11.859222,11.986899,6.878261,1377367
1997-07-07,12.005169,12.151117,11.895691,12.147477,6.970402,337686
1997-07-08,11.895691,12.461282,11.892051,12.187586,6.993417,903766
1997-07-09,12.187586,12.417534,12.114641,12.169387,6.982974,744030
1997-07-10,12.114641,12.224126,11.859222,11.986899,6.878261,710402
1997-07-11,12.041638,12.278866,11.950430,12.023432,6.899223,687983
1997-07-14,12.045278,12.771448,12.045278,12.702149,7.288682,1516085
1997-07-15,12.643763,12.924746,12.479553,12.702149,7.288682,1207824
1997-07-16,12.807917,13.030514,12.698510,12.870007,7.385002,819694
1997-07-17,13.015955,13.015955,12.567121,12.705789,7.290770,686582
1997-07-18,12.607230,12.607230,12.048989,12.056269,6.918066,661360
1997-07-21,12.297057,12.446723,11.771653,11.954070,6.859423,1371763
1997-07-22,12.162108,12.862656,12.162108,12.862656,7.380783,1108339
1997-07-23,13.063336,13.793145,12.877286,13.337039,7.652992,1587546
1997-07-24,13.318840,13.428248,12.953936,13.209362,7.579729,1074711
